ï»¿"SYMBOL 
","PREV. CLOSE 
","IEP 
","CHNG 
","%CHNG 
","FINAL 
","FINAL QUANTITY 
","VALUE 
 (â¹ Crores)","FFM CAP 
 (â¹ Crores)","NM 52W H 
","NM 52W L 
"
"ETERNAL","259.40","260.20","0.80","0.31","260.20","88,566","2.30","1,87,586.09","368.45","212.60"
"TECHM","1,433.80","1,438.00","4.20","0.29","1,438.00","2,562","0.37","91,070.19","1,854.00","1,304.10"
"ITC","290.70","291.50","0.80","0.28","291.50","44,176","1.29","2,80,210.45","427.00","275.05"
"COALINDIA","444.85","445.60","0.75","0.17","445.60","29,949","1.33","1,06,436.27","491.25","368.65"
"GRASIM","3,080.20","3,085.00","4.80","0.16","3,085.00","283","0.09","1,16,074.34","3,200.00","2,502.50"
"BAJAJFINSV","1,759.30","1,760.00","2.20","0.13","1,760.00","792","0.14","1,01,605.22","2,195.00","1,597.00"
"JIOFIN","236.71","237.00","0.29","0.12","237.00","23,800","0.56","77,544.41","338.60","223.30"
"CIPLA","1,454.10","1,455.70","1.60","0.11","1,455.70","2,313","0.34","81,680.78","1,673.00","1,165.70"
"INDIGO","5,315.20","5,320.00","4.80","0.09","5,320.00","1,694","0.90","1,20,083.97","6,232.50","3,895.20"
"HDFCLIFE","583.25","583.70","0.45","0.08","583.70","1,440","0.08","62,616.03","820.75","543.00"
"AXISBANK","1,356.80","1,357.70","0.90","0.07","1,357.70","61,441","8.34","3,88,859.99","1,418.30","1,042.50"
"ASIANPAINT","2,656.90","2,658.00","1.10","0.04","2,658.00","1,593","0.42","1,19,865.71","2,985.70","2,115.00"
"HCLTECH","1,102.40","1,102.50","0.10","0.01","1,102.50","6,083","0.67","1,15,909.82","1,780.10","1,086.00"
"TITAN","4,277.20","4,277.50","0.30","0.01","4,277.50","1,092","0.47","1,76,109.31","4,605.00","3,303.10"
"NESTLEIND","1,387.30","1,387.30","-","-","1,387.30","2,580","0.36","99,192.71","1,498.10","1,084.70"
"SHRIRAMFIN","1,032.65","1,032.65","-","-","1,032.65","10,617","1.10","1,44,221.46","1,108.00","566.50"
"KOTAKBANK","395.50","395.50","-","-","395.50","78,790","3.12","2,90,373.18","453.20","345.50"
"APOLLOHOSP","8,655.00","8,654.50","-0.50","-0.01","8,654.50","744","0.64","88,814.45","8,734.00","6,696.50"
"HINDUNILVR","2,151.30","2,151.00","-0.30","-0.01","2,151.00","2,724","0.59","1,90,299.69","2,750.00","2,022.50"
"JSWSTEEL","1,232.40","1,232.00","-0.40","-0.03","1,232.00","1,319","0.16","1,15,231.44","1,328.00","1,008.00"
"ONGC","234.05","233.95","-0.10","-0.04","233.95","45,043","1.05","90,623.61","307.50","228.61"
"TATASTEEL","189.57","189.50","-0.07","-0.04","189.50","87,997","1.67","1,56,204.10","224.40","152.51"
"DRREDDY","1,375.70","1,375.00","-0.70","-0.05","1,375.00","15,883","2.18","83,583.64","1,414.90","1,148.40"
"MAXHEALTH","1,149.90","1,149.00","-0.90","-0.08","1,149.00","6,267","0.72","85,273.59","1,314.30","903.00"
"ULTRACEMCO","11,336.00","11,317.00","-19.00","-0.17","11,317.00","475","0.54","1,33,547.10","13,110.00","10,325.00"
"WIPRO","175.48","175.00","-0.48","-0.27","175.00","57,507","1.01","50,070.97","273.10","171.49"
"NTPC","356.10","354.75","-1.35","-0.38","354.75","20,816","0.74","1,67,710.92","414.40","315.55"
"TCS","2,097.90","2,090.00","-7.90","-0.38","2,090.00","22,735","4.75","2,12,787.62","3,489.90","2,055.00"
"SBILIFE","1,755.40","1,747.50","-7.90","-0.45","1,747.50","830","0.15","78,304.67","2,132.00","1,700.40"
"EICHERMOT","7,426.00","7,392.00","-34.00","-0.46","7,392.00","7,907","5.84","1,01,588.21","8,230.00","5,353.00"
"INFY","1,036.70","1,030.00","-6.70","-0.65","1,030.00","1,07,506","11.07","3,60,290.88","1,728.00","1,026.00"
"HINDALCO","963.80","957.00","-6.80","-0.71","957.00","26,951","2.58","1,38,176.42","1,176.00","657.50"
"TATACONSUM","1,112.80","1,089.00","-23.80","-2.14","1,089.00","10,510","1.14","70,719.80","1,282.70","1,007.20"
